,donor_id,site_id,cell_class,annotation_coarse,count
15390,AT11,AT11-BRA-6-FO-1,NPC-neuronal-like,NPC-neuronal-like,3773
15399,AT11,AT11-BRA-6-FO-1,Proliferative,Proliferative,743
15408,AT11,AT11-BRA-6-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,441
15409,AT11,AT11-BRA-6-FO-2,AC-gliosis-hypoxia,Hypoxic,81
15410,AT11,AT11-BRA-6-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,8
15411,AT11,AT11-BRA-6-FO-2,AC-gliosis-hypoxia,Gliosis-like,5
15417,AT11,AT11-BRA-6-FO-2,NPC-OPC-like,OPC-NPC-like,2480
15418,AT11,AT11-BRA-6-FO-2,NPC-OPC-like,OPC-like,712
15419,AT11,AT11-BRA-6-FO-2,NPC-OPC-like,OPC-neuronal-like,13
15426,AT11,AT11-BRA-6-FO-2,NPC-neuronal-like,NPC-neuronal-like,182
15435,AT11,AT11-BRA-6-FO-2,Proliferative,Proliferative,151
15444,AT11,AT11-BRA-6-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,1119
15445,AT11,AT11-BRA-6-FO-3,AC-gliosis-hypoxia,Hypoxic,353
15446,AT11,AT11-BRA-6-FO-3,AC-gliosis-hypoxia,Gliosis-like,37
15447,AT11,AT11-BRA-6-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,27
15453,AT11,AT11-BRA-6-FO-3,NPC-OPC-like,OPC-NPC-like,8023
15454,AT11,AT11-BRA-6-FO-3,NPC-OPC-like,OPC-like,650
15455,AT11,AT11-BRA-6-FO-3,NPC-OPC-like,OPC-neuronal-like,12
15462,AT11,AT11-BRA-6-FO-3,NPC-neuronal-like,NPC-neuronal-like,76
15471,AT11,AT11-BRA-6-FO-3,Proliferative,Proliferative,973
15480,AT11,AT11-BRA-6-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,1130
15481,AT11,AT11-BRA-6-FO-4,AC-gliosis-hypoxia,Hypoxic,293
15482,AT11,AT11-BRA-6-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,72
15483,AT11,AT11-BRA-6-FO-4,AC-gliosis-hypoxia,Gliosis-like,32
15489,AT11,AT11-BRA-6-FO-4,NPC-OPC-like,OPC-NPC-like,6477
15490,AT11,AT11-BRA-6-FO-4,NPC-OPC-like,OPC-like,804
15491,AT11,AT11-BRA-6-FO-4,NPC-OPC-like,OPC-neuronal-like,26
15498,AT11,AT11-BRA-6-FO-4,NPC-neuronal-like,NPC-neuronal-like,116
15507,AT11,AT11-BRA-6-FO-4,Proliferative,Proliferative,884
17568,AT12,AT12-BRA-4-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,4226
17569,AT12,AT12-BRA-4-FO-1,AC-gliosis-hypoxia,Hypoxic,1658
17570,AT12,AT12-BRA-4-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,396
17571,AT12,AT12-BRA-4-FO-1,AC-gliosis-hypoxia,Gliosis-like,75
17577,AT12,AT12-BRA-4-FO-1,NPC-OPC-like,OPC-neuronal-like,4882
17578,AT12,AT12-BRA-4-FO-1,NPC-OPC-like,OPC-like,209
17579,AT12,AT12-BRA-4-FO-1,NPC-OPC-like,OPC-NPC-like,23
17586,AT12,AT12-BRA-4-FO-1,NPC-neuronal-like,NPC-neuronal-like,33
17595,AT12,AT12-BRA-4-FO-1,Proliferative,Proliferative,290
17604,AT12,AT12-BRA-4-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,11989
17605,AT12,AT12-BRA-4-FO-2,AC-gliosis-hypoxia,Hypoxic,1526
17606,AT12,AT12-BRA-4-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,116
17607,AT12,AT12-BRA-4-FO-2,AC-gliosis-hypoxia,Gliosis-like,94
17613,AT12,AT12-BRA-4-FO-2,NPC-OPC-like,OPC-like,463
17614,AT12,AT12-BRA-4-FO-2,NPC-OPC-like,OPC-neuronal-like,186
17615,AT12,AT12-BRA-4-FO-2,NPC-OPC-like,OPC-NPC-like,4
17622,AT12,AT12-BRA-4-FO-2,NPC-neuronal-like,NPC-neuronal-like,19
17631,AT12,AT12-BRA-4-FO-2,Proliferative,Proliferative,216
17640,AT12,AT12-BRA-4-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,4978
17641,AT12,AT12-BRA-4-FO-3,AC-gliosis-hypoxia,Hypoxic,749
17642,AT12,AT12-BRA-4-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,254
17643,AT12,AT12-BRA-4-FO-3,AC-gliosis-hypoxia,Gliosis-like,46
17649,AT12,AT12-BRA-4-FO-3,NPC-OPC-like,OPC-like,152
17650,AT12,AT12-BRA-4-FO-3,NPC-OPC-like,OPC-neuronal-like,25
17651,AT12,AT12-BRA-4-FO-3,NPC-OPC-like,OPC-NPC-like,3
