,annotation_coarse,feature,mean,proportion
221,OPC-NPC-like,RELA,0.0,0.03585075444385034
222,OPC-like,RELA,0.20714364599586144,0.0489086255198221
223,OPC-neuronal-like,RELA,0.12931188149852482,0.0462090887685425
224,Proliferative,RELA,0.4891397534913514,0.0809602946460654
225,AC-gliosis-like,FOS,0.8391437493061022,0.19420143744512017
226,AC-progenitor-like,FOS,0.9914499736219089,0.22888172773437823
227,Gliosis-like,FOS,0.9545882306356248,0.282560104672082
228,Hypoxic,FOS,1.0,0.22191948479594364
229,NPC-neuronal-like,FOS,0.0,0.053501444915086495
230,OPC-NPC-like,FOS,0.026453041622723574,0.05345661784843308
231,OPC-like,FOS,0.8460653928396354,0.1917379357604015
232,OPC-neuronal-like,FOS,0.07681021062019035,0.07364021662349894
233,Proliferative,FOS,0.6318958478553753,0.1754401724757456
234,AC-gliosis-like,TJP1,0.7921250558780166,0.599596734853166
235,AC-progenitor-like,TJP1,1.0,0.65406377109342
236,Gliosis-like,TJP1,0.7244798738019045,0.611077795344273
237,Hypoxic,TJP1,0.44048580495385276,0.4753398510920403
238,NPC-neuronal-like,TJP1,0.0,0.39729226871461937
239,OPC-NPC-like,TJP1,0.06323205338008728,0.3759308285188904
240,OPC-like,TJP1,0.4797399495575856,0.4921027349864628
241,OPC-neuronal-like,TJP1,0.35603583605769135,0.46079585589828115
242,Proliferative,TJP1,0.5685310365188868,0.5783102766798419
243,AC-gliosis-like,SMAD3,0.7436574920264111,0.1862824807310807
244,AC-progenitor-like,SMAD3,0.8019186799206547,0.19763405764085062
245,Gliosis-like,SMAD3,1.0,0.25999018699231313
246,Hypoxic,SMAD3,0.5459432800672078,0.12699430303206913
247,NPC-neuronal-like,SMAD3,0.0,0.02701793278175844
248,OPC-NPC-like,SMAD3,0.30356976739600366,0.08103913718227937
249,OPC-like,SMAD3,0.3654490175629466,0.10098153161929203
250,OPC-neuronal-like,SMAD3,0.036816513199987945,0.0350247233341182
251,Proliferative,SMAD3,0.5808096621384825,0.16266169601149838
252,AC-gliosis-like,CDH1,0.3225824580270605,0.018878662720738886
